id,RA,DEC,ebv_mw,f_f105w,e_f105w,f_f125w,e_f125w,f_f140w,e_f140w,f_f160w,e_f160w,f_f435w,e_f435w,f_f606w,e_f606w,f_f814w,e_f814w,f_f090w,e_f090w,f_f115w,e_f115w,f_f150w,e_f150w,f_f200w,e_f200w,f_f277w,e_f277w,f_f356w,e_f356w,f_f410m,e_f410m,f_f444w,e_f444w,tot_cor,kron_radius,kron_radius_circ,use_circle,flag_kron,iso_area,use_aper,a_image,b_image,theta_J2000,flux_radius,z_spec,z_phot,z_phot_chi2,mass,restU,restU_err,restV,restV_err,restJ,restJ_err,restus,restus_err,restgs,restgs_err,restis,restis_err,excess,flag,beta,beta_dark,RE,RE_ERR,N,N_ERR,Q,Q_ERR,PA,PA_ERR,lmass
58285,34.42217773,-5.220704676,0.019156852,nan,nan,63.78588584,4.87095676,123.9568895,8.701228121,195.2000977,5.460479366,-17.10858135,8.769575098,8.125030996,2.973625795,6.890266598,3.63249221,2.969222573,7.502371768,28.85385744,7.571362938,156.3951786,7.670126001,291.7449783,8.56028543,422.1218875,6.250936716,546.7589532,6.629783084,614.580474,9.723615595,654.7211728,6.184508553,1.095947275,nan,nan,1,0,2.0032,1.4,6.571522236,6.239801407,-1.460009933,0.151904042,nan,2.5157228,9.470359,64485775173,61.419502,2.4637508,284.3177,12.789032,648.4452,28.463348,19.977444,1.7146301,196.3673,6.589714,400.43585,18.956299,2.926829268,0,0.1102,-99,1.3617,0.0212,3.258,0.1324,0.4642,0.0098,-71.8685,0.7618,11.01698844
58588,34.23251855,-5.220236479,0.018905988,nan,nan,122.8078812,4.924488835,251.49845,8.877271729,387.2902298,5.771903128,-9.680307011,6.085741011,2.98147493,2.938007655,19.15689432,3.671287438,16.18563492,7.184296347,100.2363328,7.454179511,370.8976498,8.254562094,645.2311227,9.481374498,873.8253793,7.174618569,1131.645831,7.872856549,1298.852858,11.40012504,1380.619177,7.060797356,1.095947275,nan,nan,1,0,3.912,1.4,9.894536972,7.466659069,-0.309081256,0.176075651,nan,2.502357,6.8587966,1.48E+11,137.62337,4.537758,605.4781,27.552246,1381.6259,51.139893,47.324657,2.726513,421.41727,14.360413,837.36224,54.348755,7.203389831,0,0.6217,-99,2.7354,0.0283,4.6666,0.0901,0.2707,0.0036,75.2021,0.2081,11.33455572
58679,34.299604,-5.220295862,0.019197339,nan,nan,450.2150125,5.087519026,nan,nan,600.4332264,5.343278738,203.9955659,6.896821072,360.6220675,4.157612682,422.0265229,4.590280128,419.5583141,8.432401705,448.2040358,8.150955672,595.0471615,7.641299764,709.2125847,7.684118061,734.5539237,4.674796571,718.1535026,4.482088849,791.0138429,6.737905111,808.3252434,4.315741974,1.095947275,nan,nan,1,0,1.5712,1.4,8.64368248,5.069434643,-0.264137208,0.438427202,nan,2.9458852,11.439961,66289704460,381.11118,62.798767,449.13504,200.25095,611.0994,84.36566,297.8276,12.10759,417.02524,52.81314,475.94064,218.37439,13.7254902,1,-1.5604,-1.119570465,7.5841,0.0558,0.7199,0.0133,0.4035,0.0025,73.5131,0.287,11.24123863
58680,34.29956853,-5.220129163,0.019199089,nan,nan,509.2594439,5.99149452,nan,nan,688.6390992,6.334263495,233.627621,7.926139441,407.3208629,4.424603555,487.0848345,5.065698707,483.009945,9.640181532,514.0360716,9.544556789,678.9007397,8.789302312,804.1890038,8.714775009,826.5794914,5.399489159,797.2733274,5.162797717,881.9470031,7.85838803,896.8760517,5.050578662,1.2259661,2.469437822,0.774362822,0,0,2.0256,1.4,11.19522762,5.489589691,-1.518762827,0.522843903,nan,3.1511445,22.620821,99807471341,731.7478,25.099426,732.03296,30.591736,955.7665,294.77887,589.68317,19.804626,646.4546,27.405518,746.1021,93.15747,11.34020619,1,-1.6024,-1.132914068,9.4851,0.176,2.807,0.0544,0.2128,0.0023,8.3372,0.1819,11.21049709
58749,34.29700366,-5.220116661,0.019198615,nan,nan,15.51033901,2.123670856,nan,nan,27.72340778,1.953375709,1.032180893,2.495298296,5.31609521,1.295434459,8.156902874,1.416767653,6.606709387,2.375116072,13.25104376,2.353630938,23.76548916,2.011508336,45.75619084,1.755244805,75.99690199,1.064918546,92.77495778,1.114125767,126.2954317,1.991248122,144.6105833,1.372357911,1.187328163,nan,nan,1,1,1.4288,0.7,8.646250725,5.606468678,-0.586573958,0.673339087,nan,3.1940753,3.4848235,33766069228,25.6444,1.485817,48.526485,2.8027039,192.82234,38.30819,14.350451,1.3625154,32.27993,1.9685163,74.9721,9.127815,4.393305439,0,-0.3977,-99,11.5228,0.165,0.2,0.0162,0.4668,0.0078,52.0408,0.8351,9.896190587
58961,34.36050311,-5.219633628,0.019465822,nan,nan,18.8612337,2.397159687,34.48110915,4.386864896,59.30352311,2.342745389,3.247809506,2.949044588,1.906077912,0.720894402,2.399430368,0.598630452,4.034517351,5.230728565,1.486481022,5.400874802,61.06553867,4.835698124,112.7157144,4.410564013,168.8124336,1.728420276,229.5884393,1.910041769,261.7431891,3.090945843,280.1083615,1.997661458,1.333882125,2.851202135,0.598225058,0,0,1.1328,0.7,5.738427162,4.794687748,1.310441375,0.179351262,nan,2.5702274,9.50213,31924974328,20.800098,1.9609184,107.27729,6.6052437,288.532,11.856033,6.41754,1.057714,69.422356,3.741314,161.45627,8.317604,2.684563758,0,0.1631,-99,2.6216,0.16,2.0221,0.2596,0.7316,0.0408,-30.3673,6.2084,10.69775872
59154,34.31790652,-5.21920649,0.019276572,nan,nan,25.64324851,2.287679728,34.69103617,4.035171292,58.85303592,2.202580849,1.886160913,2.92179981,6.126641448,0.851308131,12.45972778,0.627579171,10.82732533,3.356707055,20.38421663,3.506298486,60.25904781,3.219218529,149.1976117,3.065360628,173.1155881,1.960132503,185.0479353,2.035812085,210.3133364,3.481911532,222.4471905,2.205490782,1.227314866,2.609614647,0.432725173,0,0,0.7248,0.7,4.200246811,4.091445446,1.453565717,0.128905943,nan,3.101054,7.555472,26764384863,48.06975,2.4134197,163.15118,7.883438,247.25911,53.994408,21.473541,2.6663227,131.87851,6.8818893,180.44739,40.04901,4.803921569,0,-0.1542,-99,0.6914,0.0272,8,0.7993,0.4821,0.021,78.4915,1.5578,11.07793411
59166,34.45890428,-5.219481082,0.018426887,nan,nan,59.62050615,4.769546521,78.47386983,8.196907978,95.80636008,4.707292347,-8.332908165,10.46596988,18.28085459,3.673733334,19.48619175,4.162589853,26.01465648,7.485084543,38.68498734,7.369203983,95.79055152,6.489597577,133.4640898,6.273352104,205.5611609,3.602491033,306.4791328,3.828912553,360.9825543,6.174801919,416.4467748,4.175285468,1.214411511,3.012558818,0.888454805,0,0,1.96,1.4,10.98700714,4.947664261,-0.87119633,0.391415866,nan,2.5952544,3.9714842,73407551226,48.782852,4.597641,120.041824,6.6502457,445.76645,26.415878,24.949598,2.7458687,84.83659,5.0153503,189.8435,11.228409,20.26845638,1,-0.0232,0.821233361,12.6552,0.236,0.2432,0.024,0.337,0.0073,50.2711,0.7017,10.83767655
59728,34.34750149,-5.218379111,0.019317229,nan,nan,32.33118306,2.780251717,61.31683492,5.103282903,108.6906348,2.704397377,1.823631691,3.650749632,6.645572666,0.805199133,9.817607041,0.683705956,11.84944596,4.667366255,22.17270588,4.482565903,98.3523966,4.127749773,167.1537275,4.003510344,232.2367296,2.664917299,300.0272125,2.810753201,336.1827022,4.56919758,360.1159382,3.152736763,1.535241242,2.562511477,0.640355959,0,0,1.4704,0.7,8.689695358,4.49145174,1.083273888,0.215999228,nan,2.636467,3.9280136,40680501849,42.41668,2.3736458,167.02998,8.887894,366.63336,28.425568,17.463928,1.6716738,126.58511,4.6907578,232.04407,11.71434,17.54716981,1,0.2745,-0.742130807,5.314,0.2003,1.6378,0.0822,0.4521,0.0126,-24.83,1.1845,10.84873521
59867,34.34098771,-5.218165181,0.019323905,nan,nan,126.769277,3.094958959,151.9607204,5.463196563,180.8936347,2.971081549,32.124819,2.053255821,84.69352591,0.791066699,110.4474458,0.878538123,113.2843101,3.481301226,131.1172579,3.439848163,183.0450841,3.114778659,265.4404774,2.922571438,275.0891077,1.916222836,256.1964239,1.861344736,279.1919063,3.052662097,294.04268,2.020703007,1.538905025,2.558443713,0.625811754,0,0,1.4336,0.7,7.592528343,4.925261497,0.943501949,0.231369385,nan,3.0847719,5.822053,20229710700,169.92702,13.546471,257.75726,58.43457,313.82532,76.189674,127.96228,4.711788,205.4519,161.69778,242.99646,43.60179,-10.62176166,0,-1.2226,-99,6.0429,0.0757,1.728,0.0296,0.3365,0.0031,-50.2147,0.2768,10.53291726
59988,34.37061369,-5.217972317,0.019510759,nan,nan,215.3523387,5.301226113,295.8327626,9.307180212,393.6298583,5.347555261,39.21347227,6.02473845,99.48754968,1.70037491,134.0687899,1.579726148,121.2781124,8.291596765,161.0932728,8.061932567,366.2320049,7.739282914,448.5286472,7.694602084,512.4907721,4.60739764,599.288318,4.615463189,633.385612,7.086860849,664.2061319,4.560114839,1.215098901,2.492004979,0.907232248,0,0,3.1968,1.4,10.34559917,8.006883621,0.53621155,0.394111758,nan,2.6145794,7.921518,56031390044,231.41281,13.010338,426.43286,29.89116,682.7325,58.126007,144.09306,12.154442,386.1023,21.086075,495.1602,26.589981,9.375,0,-0.8846,-99,10.9924,0.1284,0.8311,0.0169,0.5359,0.0043,-62.7342,0.6021,10.81627113
60010,34.32908554,-5.217824027,0.019321236,nan,nan,57.71690671,2.737160839,72.08346104,4.836872985,85.83110128,2.577475398,4.535853943,3.053409408,26.00782065,0.782440765,42.43226984,0.709866936,36.87469362,4.238455838,61.35386799,4.327046049,83.9719861,3.753866134,142.6451466,3.491754749,174.7631601,2.212901682,176.8196504,2.238280084,204.1479412,3.783513269,219.9394877,2.515078526,1.42961707,2.692724812,0.549716332,0,0,0.9056,0.7,5.37473774,4.846364498,1.061554909,0.224881614,nan,3.141275,5.0218315,26654462498,83.96962,3.3765907,130.90054,34.903103,246.07726,48.708862,57.751957,2.8276234,95.77573,14.291069,154.0983,45.435024,2.767857143,0,-0.7804,-99,4.8851,0.0752,0.502,0.0262,0.7253,0.0109,-75.0628,1.9759,10.68103251
60215,34.40362284,-5.217366558,0.019366818,nan,nan,15.69225548,2.723141872,3.875103228,4.90155967,21.36366751,2.417856002,2.252784701,3.151261851,10.18088848,1.48205423,15.04932861,1.417406429,16.73786372,3.04721375,16.01342321,3.040727703,17.58255489,2.585594115,26.52854552,2.180261732,53.60165145,1.313336256,79.39425997,1.677221255,108.0393299,2.421958472,113.0197369,1.638869741,1.510383509,2.802997961,0.538666433,0,0,0.632,0.7,5.55921793,4.152030945,0.722604275,0.287807146,nan,3.4965692,11.341539,34464477855,21.690504,1.8743906,41.73788,7.862648,148.82745,39.563625,15.484895,1.3570151,24.939737,3.4847393,73.53296,3.9471207,0.528541226,0,-1.5701,-99,2.8047,0.0859,0.5387,0.0682,0.5294,0.0223,79.6368,2.4161,10.51646545
60327,34.35777128,-5.217210537,0.019431848,nan,nan,13.86021205,2.169864445,34.05371942,4.540118623,51.22048808,2.415641853,-3.450682819,3.162297611,0.905604469,0.766050013,1.852445622,0.629233238,-0.325146271,3.911558905,10.94990709,3.801486859,43.26236867,3.384031876,100.7321741,3.344570115,189.1103831,2.338278333,318.540437,2.691774887,389.5664686,4.428822919,439.3260475,2.945880152,1.410189024,2.472083769,0.52081038,0,0,1.0624,0.7,6.26215601,4.429850101,-0.086642914,0.209042703,nan,2.5780551,3.3394759,56944496498,17.398354,1.7170367,97.614235,5.240963,443.2887,26.856522,5.416802,1.0345366,60.0532,3.2146626,182.04196,9.09742,10.57692308,1,0.6371,0.745191582,6.4845,0.291,0.6192,0.0698,0.5546,0.021,83.7908,2.8524,10.93659358
61775,34.45482338,-5.214855402,0.01845795,nan,nan,28.96732446,2.810112832,34.2828632,5.154393964,50.71094118,2.62369431,1.257579791,5.158066457,0.944733125,1.455910324,4.511814003,1.546832939,-1.843449687,4.094077572,14.09038706,4.114865838,50.4900574,3.642124056,131.5436249,3.600868657,243.3907652,2.536242364,415.9595951,3.043505063,544.7878378,5.519798128,583.0050711,3.296333509,1.53799522,2.695773871,0.649543859,0,0,1.4048,0.7,7.270458698,4.990777969,-0.285067648,0.240606067,nan,2.711337,10.859673,29370247081,33.308453,2.8194618,137.6124,8.139633,630.1654,27.170105,12.328786,1.7613301,68.33291,6.1771107,252.96886,12.056648,21.77419355,1,0.9063,1.930117596,-99,-99,6.4495,1096.8357,-99,-99,-89.3527,4.472,11.12254673
