id,RA,DEC,ebv_mw,f_f105w,e_f105w,f_f125w,e_f125w,f_f140w,e_f140w,f_f160w,e_f160w,f_f435w,e_f435w,f_f606w,e_f606w,f_f814w,e_f814w,f_f090w,e_f090w,f_f115w,e_f115w,f_f150w,e_f150w,f_f200w,e_f200w,f_f277w,e_f277w,f_f356w,e_f356w,f_f410m,e_f410m,f_f444w,e_f444w,tot_cor,kron_radius,kron_radius_circ,use_circle,flag_kron,iso_area,use_aper,a_image,b_image,theta_J2000,flux_radius,z_spec,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,mass,restU,restU_err,restV,restV_err,restJ,restJ_err,restus,restus_err,restgs,restgs_err,restis,restis_err,star_min_chi2,excess,flag,beta,beta_dark,RE,RE_ERR,N,N_ERR,Q,Q_ERR,PA,PA_ERR,lmass
36996,150.0934655,2.394735914,0.01478199,nan,nan,9.788807083,3.458780695,7.188406494,6.084804268,13.58260098,3.170651595,nan,nan,-1.620494805,2.416839958,0.052052207,1.833642322,-16.42738733,6.288905795,0.120882847,6.349892921,9.861644313,5.482035432,31.32428397,5.025015978,57.92647878,2.296612534,80.4716072,2.26529181,99.71405537,3.908497408,120.3303537,2.638778738,1.906722239,4.298437322,0.836988365,0,0,0.5584,0.7,6.474868298,3.659878969,-0.536009431,0.313362202,nan,3.039969,12.187611,1.5395715,1.8120437,2.713462,3.2840285,4.269918,31290537775,9.379574,2.0853908,39.71929,4.1244965,150.12325,24.72879,3.4101934,0.890506,26.064068,11.508326,67.55416,3.3428001,23.697577,-8.129496403,0,0.566,-99,-99,-99,6.4737,152.0746,-99,-99,-44.9853,428.9335,10.6143892
37185,150.1034276,2.395095732,0.014698066,84.29049916,4.307752212,104.8919755,5.261377306,128.5861517,6.643604857,174.7062274,4.86463152,12.36725907,2.582621475,54.68018469,3.672105741,61.4162438,3.622618956,58.91740365,14.0426288,96.37833933,14.35049905,168.8235436,13.20656952,248.7149021,13.08693935,nan,nan,420.5765382,7.249406779,509.1172169,11.20072018,560.8635776,7.224367804,1.27543255,2.805869537,0.99272134,0,0,2.4016,1.4,10.9600544,7.138173103,0.01897198,0.447643652,nan,2.7383046,6.9389668,2.5969174,2.683943,2.744844,2.856637,3.005185,85277867619,84.9031,7.9447174,197.76749,30.867256,651.93353,72.658875,51.397984,3.8353233,139.78539,12.453022,278.30157,105.79644,177.63864,1.13960114,0,-0.719,-99,13.3108,0.1961,0.6492,0.021,0.4966,0.0057,79.552,0.7274,11.04426571
37460,150.1869847,2.396540084,0.014666938,25.45801354,2.525303884,32.46679403,2.925170634,nan,nan,74.37193832,2.783071056,0.493582926,2.143199928,5.944935473,1.975223162,17.88549935,1.735699672,19.11106244,3.341391389,36.13570249,3.418150701,74.91406092,3.030089632,152.6157925,3.20890718,264.8950593,2.322398481,326.5298119,2.366958751,416.8437887,3.968892416,450.7368688,2.506961637,1.567629175,2.909953604,0.680639393,0,0,1.4544,0.7,6.371598721,5.366530895,-1.334130287,0.248987543,nan,3.11286,8.793243,2.7966487,2.9410014,3.095327,3.20387,3.3412056,68739862010,66.96292,9.853567,162.67952,8.364174,530.2752,105.26332,33.092278,2.4319687,99.63872,4.834175,242.96375,18.928383,130.83559,5.693950178,0,0.31,-99,3.9969,0.0539,1.5937,0.0315,0.6224,0.0066,8.8903,0.7796,11.04341243
37943,150.1957061,2.398309181,0.01477849,31.04353215,2.564041028,44.37859775,2.697028304,nan,nan,76.55449867,2.566580337,2.42033997,2.025461779,15.82822421,1.6826109,24.60961815,1.636370834,20.98130528,4.344586087,39.98182944,4.57325934,75.81838857,4.22085785,125.53055,4.203107898,166.2305511,2.673663207,172.8996808,2.503496999,198.6654722,4.131163285,207.3515723,2.568836765,1.459223442,3.111438551,0.603024216,0,0,0.8688,0.7,5.384358406,4.360066414,-0.354397446,0.220774214,nan,2.9149184,3.2142906,2.7067072,2.7687755,2.903048,3.0514135,3.1747954,24268372252,65.460625,6.8158627,125.15339,32.92939,225.41434,30.411987,36.611855,2.55048,85.68336,22.983961,154.73647,49.426064,177.96683,2.937062937,0,-0.497,-99,4.6422,0.1168,1.9401,0.061,0.6289,0.0112,69.8651,1.2851,10.52895979
38111,150.1801343,2.398938939,0.014604372,33.3543147,3.741943522,53.99314899,4.524422257,nan,nan,88.23757161,4.27499621,nan,nan,12.14194515,3.922277182,23.93610749,3.210986357,30.4801891,6.520321723,43.28319224,6.521345867,85.28751454,6.104775522,154.9815866,6.049057597,240.8194633,3.573639465,271.8385112,3.643430221,339.4245494,5.620220408,363.5381332,3.55836219,1.09713773,nan,nan,1,1,2.9184,1.4,12.86693668,6.875172615,-0.525246739,0.576997328,nan,2.7403011,9.666143,1.829338,2.677517,2.8915865,3.1470501,3.2581573,33267204481,38.249367,1.643198,88.838036,8.0317,276.53952,27.019348,18.684416,1.2809143,55.71442,2.2957802,131.84116,88.35532,112.5418,8.347107438,0,-0.261,-99,28.0546,2.753,8,0.3039,0.4661,0.0078,58.7972,0.5887,10.74822364
38286,150.1722388,2.399607645,0.014524112,9.615759535,3.672942104,25.93373478,5.556872587,nan,nan,72.7851368,4.58262919,-1.444722196,3.04574968,nan,nan,9.691631176,3.982715597,4.160092972,5.517685963,17.99323505,5.826088927,58.60284608,5.616204412,126.4343312,6.014864066,171.1394977,3.307208096,207.5118913,3.345033395,232.6231091,4.947225705,246.5688437,3.180722303,1.104630701,2.796961607,0.710634738,0,0,1.88,1.4,7.589363575,5.31611681,-1.133147717,0.206221907,nan,2.8125277,5.3055677,2.5827987,2.6872118,2.7903047,2.8699112,2.9343774,35049924228,41.176697,3.9159088,144.73103,7.4189606,279.06198,30.341728,18.725327,1.8066454,112.378586,4.6542473,187.53085,9.444077,37.586582,1.837837838,0,0.037,-99,2.376,0.0297,3.6347,0.0767,0.3856,0.005,26.594,0.3258,10.80936613
38380,150.1222418,2.399794583,0.014571681,112.9465806,5.323054051,150.7764931,5.908016598,186.9464172,10.985115,208.2151618,5.488311713,32.88965391,2.369799929,64.81167075,3.575430103,92.1908531,3.779789394,107.3424994,6.961911957,128.9451259,7.119971417,214.1265709,7.248325124,260.6357146,6.996643919,306.3796155,3.579035363,360.9053072,3.595875058,370.3717383,5.237164465,393.6557624,3.441081685,1.367075548,3.030026951,1.075729524,0,0,3.0128,1.4,11.38876534,6.916980743,1.440752983,0.491996749,nan,2.6720731,10.56843,2.4818559,2.5744166,2.6509337,2.6969142,2.7370217,37531461108,151.3945,10.017784,238.38014,18.39563,439.34976,40.93907,92.62735,4.934532,195.27576,14.323242,281.8389,23.519394,375.5711,-1.369863014,0,-0.701,-99,13.0101,0.2418,1.5253,0.027,0.5688,0.0063,-26.6803,0.74,10.90555187
38746,150.173364,2.400731707,0.014539698,46.91530663,4.111034543,58.51644,5.203953143,nan,nan,98.89106019,5.130725806,8.135059102,3.415409963,nan,nan,32.73963057,4.405087028,26.98166115,6.227288853,44.26330363,6.811535948,66.09158854,6.082750505,129.1806016,5.946894763,265.1420605,3.59848551,348.0179637,3.697110512,472.1517861,5.821540593,540.4893105,3.921608792,1.258636973,2.636759383,0.893366355,0,0,2.7936,1.4,10.98342896,6.532211781,-0.055588309,0.467038151,nan,3.4990745,8.371835,1.9378415,2.695626,2.8953624,3.2046332,3.5138717,1.57E+11,91.94694,4.554306,202.71942,17.836739,903.1107,301.86343,48.049084,2.6373672,124.778175,6.321678,336.94775,16.563583,111.67503,3.196347032,0,-0.967,-99,9.3689,0.1197,0.8304,0.0217,0.2461,0.0027,88.4063,0.2633,11.12662424
39057,150.1627477,2.402034049,0.014436233,18.58618654,4.131974106,36.67448355,5.09083931,nan,nan,114.9672213,5.226499747,1.460654536,3.559375626,1.450313185,3.557085611,5.712567843,3.329729757,22.86064486,8.738536733,34.18178367,9.162203745,105.2039422,9.008769093,160.4826588,8.890823793,198.2391172,4.260517989,233.5634566,4.278282389,264.9558767,6.990766438,269.7870038,4.064842134,1.181242723,2.863919707,0.742269627,0,0,1.7376,1.4,6.932788372,6.055831432,-0.691698134,1.007156239,nan,2.5021842,14.462102,2.36636,2.442063,2.5027983,2.5645866,2.6303642,23872664696,46.496986,2.494854,170.00497,8.432289,290.72812,11.055954,19.422028,2.1754484,136.38756,5.1104736,203.78606,9.3628235,36.649235,0.491803279,0,-0.012,-99,0.6909,0.0182,8,0.6442,0.7458,0.0171,81.9815,3.3486,10.71210867
39058,150.163081,2.40222969,0.014439886,33.86620745,5.063046387,75.514273,6.107068059,nan,nan,145.8395544,5.981933529,11.01312618,3.924027871,9.119094738,4.06574655,22.92411408,4.064772515,37.08943899,10.70900037,46.65588217,11.20269461,151.9899927,11.23317638,217.8606822,10.70186006,294.004732,5.02259949,359.8025894,5.027620452,392.5524121,8.006739814,414.8963583,4.837878442,1.415245532,3.026619703,1.094814831,0,0,3.152,1.4,10.92375851,7.486409187,-0.91563338,0.738225334,nan,2.5182366,10.750425,2.2085538,2.295657,2.4898763,2.5968192,2.6660602,38176513032,75.212135,6.1893387,232.79686,18.083908,443.40128,19.45636,41.10238,4.0539703,178.96909,17.248573,302.53525,21.36853,160.43773,1.992031873,0,-0.591,-99,4.8925,0.2408,4.6044,0.1779,0.7848,0.0152,-44.4811,2.4398,10.7296978
